ACCIDENT_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE,Suburbs,TOTAL_PERSONS,ACCIDENT_TYPE
22.50.00,Monday,144.95031,-37.81795,MELBOURNE,2,Collision with vehicle
00.50.00,Tuesday,144.14688,-37.33786,HEPBURN,2,Collision with vehicle
17.40.00,Sunday,145.33858,-38.05931,CASEY,3,Collision with vehicle
16.15.00,Friday,145.20417,-38.07332,DANDENONG,2,Collision with vehicle
18.45.00,Friday,144.95715,-37.82821,MELBOURNE,4,Collision with vehicle
18.15.00,Friday,144.56719,-38.17587,GEELONG,2,Collision with vehicle
22.17.00,Friday,144.56755,-37.68758,MELTON,4,Collision with vehicle
22.40.00,Friday,144.94887,-37.79875,MELBOURNE,3,Collision with vehicle
23.36.00,Friday,145.14275,-38.36256,MORNINGTON PENINSULA,1,Collision with a fixed object
01.04.00,Saturday,144.96002,-37.81961,MELBOURNE,5,Collision with vehicle
21.55.00,Friday,145.16555,-37.83297,WHITEHORSE,2,Struck Pedestrian
03.40.00,Saturday,145.05574,-37.26421,MITCHELL,1,Collision with a fixed object
06.56.00,Saturday,145.18173,-37.99507,DANDENONG,3,Collision with vehicle
00.00.00,Saturday,142.00212,-36.15034,HINDMARSH,1,Vehicle overturned (no collision)
06.20.00,Saturday,142.4592,-35.06223,MILDURA,1,Vehicle overturned (no collision)
14.00.00,Saturday,145.23369,-37.92474,KNOX,3,Collision with vehicle
19.10.00,Wednesday,145.24913,-37.98568,CASEY,4,Collision with vehicle
18.34.00,Thursday,145.01967,-37.83114,YARRA,4,Collision with vehicle
18.53.00,Thursday,144.88379,-37.74815,MOONEE VALLEY,2,No collision and no object struck
19.11.00,Sunday,144.86625,-37.83261,HOBSONS BAY,1,Collision with a fixed object
18.25.00,Tuesday,144.96814,-37.79375,MELBOURNE,8,Collision with vehicle
18.00.00,Wednesday,144.96977,-37.83435,PORT PHILLIP,2,Collision with vehicle
22.50.00,Tuesday,145.02552,-37.82629,BOROONDARA,2,Collision with vehicle
10.00.00,Sunday,144.09357,-37.76703,MOORABOOL,1,Vehicle overturned (no collision)
20.15.00,Monday,144.98405,-37.88713,PORT PHILLIP,2,No collision and no object struck
18.05.00,Wednesday,145.08891,-37.76391,MANNINGHAM,3,Collision with vehicle
19.30.00,Wednesday,144.13429,-37.5767,MOORABOOL,1,collision with some other object
19.52.00,Wednesday,143.83426,-37.55915,BALLARAT,3,Collision with vehicle
20.10.00,Wednesday,145.05932,-37.59649,WHITTLESEA,1,Struck animal
18.15.00,Wednesday,145.2477,-37.98432,CASEY,3,Collision with vehicle
02.15.00,Thursday,144.80404,-37.81486,BRIMBANK,1,Vehicle overturned (no collision)
18.30.00,Friday,144.92703,-38.35526,MORNINGTON PENINSULA,3,Collision with a fixed object
19.30.00,Thursday,144.91472,-37.77378,MOONEE VALLEY,2,Collision with vehicle
